Band,Thickness_um,Section,,,,,
1,42.9162915,1,,,,,
2,5.537586,1,,,,,
3,11.075172,1,,,,,
4,30.456723,1,,,,,
5,35.994309,1,,,,,
6,12.4595685,1,,,,,
7,24.919137,1,,,,,
8,13.843965,1,,,,,
9,42.9162915,1,,,,,
10,38.763102,1,,,,,
11,12.4595685,1,,,,,
12,20.7659475,1,,,,,
13,19.381551,1,,,,,
14,6.9219825,1,,,,,
15,23.5347405,1,,,,,
16,8.306379,1,,,,,
17,29.0723265,1,,,,,
18,26.3035335,1,,,,,
19,26.3035335,1,,,,,
20,35.994309,1,,,,,
21,6.9219825,1,,,,,
22,16.612758,1,,,,,
23,26.3035335,1,,,,,
24,48.4538775,1,,,,,
25,35.994309,1,,,,,
26,19.381551,1,,,,,
27,11.075172,1,,,,,
28,22.150344,1,,,,,
29,35.994309,1,,,,,
30,27.68793,1,,,,,
31,6.9219825,1,,,,,
32,17.9971545,1,,,,, 
33,23.5347405,1,,,,,
34,22.150344,1,,,,,
35,20.7659475,1,,,,,
36,4.1531895,1,,,,,
37,27.68793,2,,,,,
38,12.4595685,2,,,,,
39,41.531895,2,,,,,
40,11.075172,2,,,,,
41,9.6907755,2,,,,,
42,13.843965,2,,,,,
43,56.7602565,2,,,,,
44,47.069481,2,,,,,
45,17.9971545,2,,,,,
46,34.6099125,2,,,,,
47,27.68793,2,,,,,
48,11.075172,2,,,,,
49,26.3035335,2,,,,,
50,13.843965,2,,,,,
51,34.6099125,2,,,,,
52,34.6099125,2,,,,,
53,24.919137,2,,,,,
54,1.3843965,2,,,,,
55,2.768793,2,,,,,
56,40.1474985,2,,,,,
57,26.3035335,2,,,,,
58,8.306379,2,,,,,
59,29.0723265,2,,,,,
60,5.537586,2,,,,,
61,38.763102,2,,,,,
62,26.3035335,2,,,,,
63,16.612758,2,,,,,
64,17.9971545,2,,,,,
65,11.075172,2,,,,,
66,11.075172,2,,,,,
67,56.7602565,2,,,,,
68,38.763102,2,,,,,
69,41.531895,2,,,,,
70,40.1474985,2,,,,,
71,41.531895,2,,,,,
72,41.531895,2,,,,,
73,40.1474985,2,,,,,
74,9.6907755,2,,,,,
75,9.6907755,2,,,,,
76,29.0723265,2,,,,,
77,6.9219825,2,,,,,
78,8.306379,2,,,,,
79,9.6907755,2,,,,,
80,42.9162915,2,,,,,
81,20.7659475,2,,,,,
82,26.3035335,2,,,,,
83,11.075172,2,,,,,
84,31.8411195,2,,,,,
85,45.6850845,2,,,,,
86,9.6907755,2,,,,,
87,29.0723265,2,,,,,
88,33.225516,2,,,,,
89,11.075172,2,,,,,
90,19.381551,2,,,,,
91,13.843965,2,,,,,
92,35.994309,2,,,,,
93,33.225516,2,,,,,
94,8.306379,2,,,,,
95,17.9971545,2,,,,,
96,17.9971545,2,,,,,
97,23.5347405,2,,,,,
98,19.381551,2,,,,,
99,8.306379,2,,,,,
100,1.3843965,2,,,,,
101,24.919137,2,,,,,
102,20.7659475,2,,,,,
103,24.919137,2,,,,,
104,20.7659475,2,,,,,
105,12.4595685,2,,,,,
106,12.4595685,2,,,,,
107,23.5347405,2,,,,,
108,44.300688,2,,,,,
109,33.225516,2,,,,,
110,13.843965,2,,,,,
111,44.300688,2,,,,,
112,26.3035335,2,,,,,
113,30.456723,2,,,,,
114,4.1531895,2,,,,,
115,24.919137,2,,,,,
116,20.7659475,2,,,,,
117,19.381551,2,,,,,
118,19.381551,2,,,,,
119,12.4595685,2,,,,,
120,33.225516,2,,,,,
121,15.2283615,2,,,,,
122,24.919137,2,,,,,
123,9.6907755,3,,,,,
124,12.4595685,3,,,,,
125,12.4595685,3,,,,,
126,13.843965,3,,,,,
127,16.612758,3,,,,,
128,6.9219825,3,,,,,
129,11.075172,3,,,,,
130,20.7659475,3,,,,,
131,8.306379,3,,,,,
132,15.2283615,3,,,,,
133,22.150344,3,,,,,
134,20.7659475,3,,,,,
135,16.612758,3,,,,,
136,20.7659475,3,,,,,
137,13.843965,3,,,,,
138,27.68793,3,,,,,
139,24.919137,3,,,,,
140,16.612758,3,,,,,
141,17.9971545,3,,,,,
142,41.531895,3,,,,,
143,24.919137,3,,,,,
144,13.843965,3,,,,,
145,19.381551,3,,,,,
146,13.843965,3,,,,,
147,15.2283615,3,,,,,
148,17.9971545,3,,,,,
149,27.68793,3,,,,,
150,12.4595685,3,,,,,
151,27.68793,3,,,,,
152,22.150344,3,,,,,
153,9.6907755,3,,,,,
154,16.612758,3,,,,,
155,13.843965,3,,,,,
156,31.8411195,3,,,,,
157,20.7659475,3,,,,,
158,19.381551,3,,,,,
159,16.612758,3,,,,,
160,33.225516,3,,,,,
161,20.7659475,3,,,,,
162,23.5347405,3,,,,,
163,23.5347405,3,,,,,
164,13.843965,3,,,,,
165,23.5347405,3,,,,,
166,26.3035335,3,,,,,
167,12.4595685,3,,,,,
168,16.612758,3,,,,,
169,8.306379,3,,,,,
170,13.843965,3,,,,,
171,38.763102,3,,,,,
172,15.2283615,3,,,,,
173,17.9971545,3,,,,,
174,15.2283615,3,,,,,
175,20.7659475,3,,,,,
176,20.7659475,3,,,,,
177,20.7659475,3,,,,,
178,5.537586,3,,,,,
179,31.8411195,3,,,,,
180,33.225516,3,,,,,
181,37.3787055,3,,,,,
182,22.150344,3,,,,,
183,15.2283615,3,,,,,
184,16.612758,3,,,,,
185,6.9219825,3,,,,,
186,30.456723,3,,,,,
187,20.7659475,3,,,,,
188,13.843965,3,,,,,
189,29.0723265,3,,,,,
190,13.843965,3,,,,,
191,13.843965,3,,,,,
192,24.919137,3,,,,,
193,1.3843965,3,,,,,
194,5.537586,3,,,,,
195,29.0723265,3,,,,,
196,29.0723265,3,,,,,
197,30.456723,3,,,,,
198,24.919137,3,,,,,
199,26.3035335,3,,,,,
200,20.7659475,3,,,,,
201,17.9971545,3,,,,,
202,37.3787055,3,,,,,
203,27.68793,3,,,,,
204,23.5347405,3,,,,,
205,30.456723,3,,,,,
206,13.843965,3,,,,,
207,13.843965,3,,,,,
208,23.5347405,3,,,,,
209,27.68793,3,,,,,
210,24.919137,3,,,,,
211,33.225516,3,,,,,
212,4.1531895,3,,,,,
213,30.456723,3,,,,,
214,34.6099125,3,,,,,
215,35.994309,3,,,,,
